============================================================
P-ACO + PLS 混合优化结果
生成时间: 2026-07-16 16:32:11
============================================================

【运行信息】
  运行时间: 23.81 秒
  客户数量: 50
  卡车数量: 4
  无人机数量: 4
  无人机续航: 6
  最大迭代: 170
  蚂蚁数量: 70
  PLS间隔: 每5代
  帕累托档案大小: 80

【三个极端解对比】
  --------------------------------------------------
  类型      | 成本   | 延迟   | 综合
  --------------------------------------------------
  综合最小  | 156.10 |  52.97 | 209.07
  成本最小  | 146.40 |  68.30 | 214.70
  延迟最小  | 156.10 |  52.97 | 209.07
  --------------------------------------------------

【综合最小解】
  总成本: 156.10
  总延迟: 52.97
  卡车路径:
    卡车 1: [0, 5, 38, 44, 41, 26, 18, 27, 28, 13, 1, 0]
    卡车 2: [0, 2, 47, 48, 45, 32, 7, 39, 11, 16, 25, 0]
    卡车 3: [0, 49, 24, 9, 33, 14, 21, 46, 34, 17, 35, 6, 22, 4, 37, 23, 0]
    卡车 4: [0, 10, 31, 40, 42, 19, 8, 3, 50, 29, 30, 43, 12, 0]
  无人机分配:
    卡车1的无人机: 无任务
    卡车2的无人机: {36: (7, 39), 20: (48, 32), 15: (39, 11)}
    卡车3的无人机: 无任务
    卡车4的无人机: 无任务

【帕累托前沿】
  解 1: 成本=152.29, 延迟=61.45, 综合=213.74
  解 2: 成本=149.42, 延迟=65.77, 综合=215.20
  解 3: 成本=146.40, 延迟=68.30, 综合=214.70
  解 4: 成本=149.42, 延迟=65.77, 综合=215.20
  解 5: 成本=152.16, 延迟=63.14, 综合=215.30
  解 6: 成本=156.10, 延迟=52.97, 综合=209.07
  解 7: 成本=155.26, 延迟=55.52, 综合=210.78
  解 8: 成本=155.26, 延迟=55.52, 综合=210.78
  解 9: 成本=152.29, 延迟=61.45, 综合=213.74
  解 10: 成本=152.66, 延迟=59.19, 综合=211.85
  解 11: 成本=156.10, 延迟=52.97, 综合=209.07
  解 12: 成本=152.66, 延迟=59.19, 综合=211.85
  解 13: 成本=156.10, 延迟=52.97, 综合=209.07
  解 14: 成本=152.66, 延迟=59.19, 综合=211.85
  解 15: 成本=156.10, 延迟=52.97, 综合=209.07
  解 16: 成本=152.66, 延迟=59.19, 综合=211.85
  解 17: 成本=156.10, 延迟=52.97, 综合=209.07
  解 18: 成本=152.66, 延迟=59.19, 综合=211.85
  解 19: 成本=152.66, 延迟=59.19, 综合=211.85
  解 20: 成本=156.10, 延迟=52.97, 综合=209.07
  解 21: 成本=152.66, 延迟=59.19, 综合=211.85
  解 22: 成本=156.10, 延迟=52.97, 综合=209.07
  解 23: 成本=156.10, 延迟=52.97, 综合=209.07
  解 24: 成本=152.66, 延迟=59.19, 综合=211.85
  解 25: 成本=152.66, 延迟=59.19, 综合=211.85
  解 26: 成本=156.10, 延迟=52.97, 综合=209.07
  解 27: 成本=152.66, 延迟=59.19, 综合=211.85
  解 28: 成本=156.10, 延迟=52.97, 综合=209.07
  解 29: 成本=152.66, 延迟=59.19, 综合=211.85
  解 30: 成本=156.10, 延迟=52.97, 综合=209.07
  解 31: 成本=156.10, 延迟=52.97, 综合=209.07
  解 32: 成本=152.66, 延迟=59.19, 综合=211.85
  解 33: 成本=156.10, 延迟=52.97, 综合=209.07
  解 34: 成本=152.66, 延迟=59.19, 综合=211.85
  解 35: 成本=152.66, 延迟=59.19, 综合=211.85
  解 36: 成本=156.10, 延迟=52.97, 综合=209.07
  解 37: 成本=152.66, 延迟=59.19, 综合=211.85
  解 38: 成本=156.10, 延迟=52.97, 综合=209.07
  解 39: 成本=156.10, 延迟=52.97, 综合=209.07
  解 40: 成本=152.66, 延迟=59.19, 综合=211.85
  解 41: 成本=152.66, 延迟=59.19, 综合=211.85
  解 42: 成本=156.10, 延迟=52.97, 综合=209.07
  解 43: 成本=156.10, 延迟=52.97, 综合=209.07
  解 44: 成本=152.66, 延迟=59.19, 综合=211.85
  解 45: 成本=156.10, 延迟=52.97, 综合=209.07
  解 46: 成本=152.66, 延迟=59.19, 综合=211.85
  解 47: 成本=156.10, 延迟=52.97, 综合=209.07
  解 48: 成本=152.66, 延迟=59.19, 综合=211.85
  解 49: 成本=152.66, 延迟=59.19, 综合=211.85
  解 50: 成本=156.10, 延迟=52.97, 综合=209.07
  解 51: 成本=156.10, 延迟=52.97, 综合=209.07
  解 52: 成本=152.66, 延迟=59.19, 综合=211.85
  解 53: 成本=156.10, 延迟=52.97, 综合=209.07
  解 54: 成本=152.66, 延迟=59.19, 综合=211.85
  解 55: 成本=152.66, 延迟=59.19, 综合=211.85
  解 56: 成本=156.10, 延迟=52.97, 综合=209.07
  解 57: 成本=156.10, 延迟=52.97, 综合=209.07
  解 58: 成本=152.66, 延迟=59.19, 综合=211.85
  解 59: 成本=152.66, 延迟=59.19, 综合=211.85
  解 60: 成本=156.10, 延迟=52.97, 综合=209.07
  解 61: 成本=152.66, 延迟=59.19, 综合=211.85
  解 62: 成本=156.10, 延迟=52.97, 综合=209.07
  解 63: 成本=156.10, 延迟=52.97, 综合=209.07
  解 64: 成本=152.66, 延迟=59.19, 综合=211.85
  解 65: 成本=156.10, 延迟=52.97, 综合=209.07
  解 66: 成本=152.66, 延迟=59.19, 综合=211.85
  解 67: 成本=156.10, 延迟=52.97, 综合=209.07
  解 68: 成本=152.66, 延迟=59.19, 综合=211.85
  解 69: 成本=156.10, 延迟=52.97, 综合=209.07
  解 70: 成本=152.66, 延迟=59.19, 综合=211.85
  解 71: 成本=156.10, 延迟=52.97, 综合=209.07
  解 72: 成本=152.66, 延迟=59.19, 综合=211.85
  解 73: 成本=152.66, 延迟=59.19, 综合=211.85
  解 74: 成本=156.10, 延迟=52.97, 综合=209.07
  解 75: 成本=152.66, 延迟=59.19, 综合=211.85
  解 76: 成本=156.10, 延迟=52.97, 综合=209.07
  解 77: 成本=156.10, 延迟=52.97, 综合=209.07
  解 78: 成本=152.66, 延迟=59.19, 综合=211.85
  解 79: 成本=156.10, 延迟=52.97, 综合=209.07
  解 80: 成本=152.66, 延迟=59.19, 综合=211.85

【收敛曲线】
  最终最优值: 209.07

============================================================
优化完成！
